RNK,TEAM,TEAM_INITIAL,TOTAL_POINT,PREVIOUS_POINT,+/-,POSITION
1,Belgium,BEL,1780,1780,0,#UEFA#
2,France,FRA,1755,1755,0,#UEFA#
3,Brazil,BRA,1743,1743,0,#CONMEBOL#
4,England,ENG,1670,1670,0,#UEFA#
5,Portugal,POR,1662,1662,0,#UEFA#
6,Spain,ESP,1645,1645,0,#UEFA#
7,Argentina,ARG,1642,1642,0,#CONMEBOL#
8,Uruguay,URU,1639,1639,0,#CONMEBOL#
9,Mexico,MEX,1632,1632,0,#CONCACAF#
10,Italy,ITA,1625,1625,0,#UEFA#
11,Croatia,CRO,1617,1617,0,#UEFA#
12,Denmark,DEN,1614,1614,0,#UEFA#
13,Germany,GER,1610,1610,0,#UEFA#
14,Netherlands,NED,1609,1609,0,#UEFA#
15,Colombia,COL,1601,1601,0,#CONMEBOL#
16,Switzerland,SUI,1593,1586,0,#UEFA#
17,Chile,CHI,1567,1567,0,#CONMEBOL#
18,Wales,WAL,1562,1562,0,#UEFA#
19,Poland,POL,1559,1559,0,#UEFA#
20,Senegal,SEN,1558,1558,0,#CAF#
20,Sweden,SWE,1558,1558,0,#UEFA#
22,USA,USA,1545,1545,0,#CONCACAF#
23,Austria,AUT,1531,1531,0,#UEFA#
24,Ukraine,UKR,1521,1528,0,#UEFA#
25,Peru,PER,1512,1512,0,#CONMEBOL#
26,Tunisia,TUN,1503,1503,0,#CAF#
27,Japan,JPN,1502,1502,0,#AFC#
28,Venezuela,VEN,1501,1501,0,#CONMEBOL#
29,IR Iran,IRN,1496,1496,0,#AFC#
30,Serbia,SRB,1495,1495,0,#UEFA#
31,Algeria,ALG,1488,1488,0,#CAF#
32,Turkey,TUR,1487,1487,0,#UEFA#
33,Slovakia,SVK,1478,1478,0,#UEFA#
34,Paraguay,PAR,1476,1476,0,#CONMEBOL#
35,Morocco,MAR,1474,1474,0,#CAF#
35,Nigeria,NGA,1474,1474,0,#CAF#
37,Romania,ROU,1466,1466,0,#UEFA#
38,Korea Republic,KOR,1465,1465,0,#AFC#
39,Russia,RUS,1461,1461,0,#UEFA#
40,Hungary,HUN,1460,1460,0,#UEFA#
41,Australia,AUS,1457,1457,0,#AFC#
42,Czech Republic,CZE,1456,1456,0,#UEFA#
42,Republic of Ireland,IRL,1456,1456,0,#UEFA#
44,Norway,NOR,1450,1450,0,#UEFA#
45,Northern Ireland,NIR,1440,1440,0,#UEFA#
46,Iceland,ISL,1438,1438,0,#UEFA#
47,Jamaica,JAM,1437,1437,0,#CONCACAF#
48,Scotland,SCO,1436,1436,0,#UEFA#
49,Egypt,EGY,1432,1432,0,#CAF#
50,Cameroon,CMR,1428,1428,0,#CAF#
51,Costa Rica,CRC,1427,1427,0,#CONCACAF#
52,Ghana,GHA,1424,1424,0,#CAF#
53,Greece,GRE,1413,1413,0,#UEFA#
54,Finland,FIN,1411,1411,0,#UEFA#
55,Bosnia and Herzegovina,BIH,1410,1410,0,#UEFA#
56,Ecuador,ECU,1409,1409,0,#CONMEBOL#
57,Mali,MLI,1408,1408,0,#CAF#
